"00:11:33.199","File-967"
"00:11:41.238","File-977"
"00:44:17.397","File-3720"
"00:50:18.204","File-4223"
"00:15:26.526","File-1303"
"00:58:41.856","File-4907"
"01:01:59.801","File-5157"
"00:43:06.012","File-3608"
"00:29:49.149","File-2534"
"00:07:02.765","File-605"
"00:28:12.594","File-2406"
"00:01:54.758","File-154"
"00:10:25.795","File-883"
"00:21:06.022","File-1779"
"00:25:41.47","File-2201"
"01:00:12.999","File-5021"
"00:52:51.455","File-4419"
"00:05:13.644","File-434"
"00:09:34.032","File-810"
"01:00:56.136","File-5062"
"00:02:45.413","File-223"
"00:02:38.988","File-210"
"00:38:07.821","File-3182"
"00:24:24.67","File-2092"
"00:41:22.741","File-3447"
"00:41:25.085","File-3451"
"00:42:28.107","File-3547"
"01:00:30.264","File-5037"
"00:52:47.564","File-4413"
"00:34:01.274","File-2863"
"00:43:26.048","File-3637"
"00:25:31.217","File-2184"
"00:54:45.327","File-4589"
"00:08:36.119","File-725"
"00:00:27.123","File-37"
"00:33:03.761","File-2789"
"00:35:50.765","File-2997"
"00:00:15.628","File-22"
"00:12:57.177","File-1079"
"00:41:09.436","File-3427"
"00:23:41.963","File-2023"
"00:29:18.018","File-2488"
"00:19:33.252","File-1659"
"00:13:29.191","File-1130"
"00:53:51.203","File-4505"
"00:09:08.584","File-770"
"00:43:21.136","File-3631"
"00:04:27.43","File-366"
"00:08:41.977","File-730"
"00:39:05.898","File-3257"
"00:22:45.985","File-1937"
"00:49:25.996","File-4146"
"00:45:13.086","File-3790"
"00:56:04.438","File-4699"
"01:00:31.889","File-5038"
"00:24:35.02","File-2109"
"00:00:54.961","File-77"
"00:47:24.15","File-3968"
"00:47:21.628","File-3961"
"00:09:35.805","File-813"
"00:56:28.75","File-4727"
"00:04:29.712","File-369"
"00:32:58.42","File-2784"
"00:34:59.232","File-2942"
"00:04:15.163","File-345"
"00:31:45.305","File-2695"
"01:01:18.128","File-5097"
"00:04:48.713","File-406"
"00:13:06.358","File-1089"
"00:01:36.807","File-132"
"00:19:31.603","File-1656"
"00:30:46.956","File-2601"
"00:16:30.609","File-1397"
"00:22:14.336","File-1889"
"00:17:50.491","File-1502"
"00:01:57.543","File-159"
"00:37:47.428","File-3149"
"01:00:10.287","File-5017"
"00:50:16.84","File-4218"
"00:20:18.69","File-1726"
"00:46:51.095","File-3922"
"00:59:01.963","File-4933"
"00:24:43.668","File-2120"
"00:37:55.203","File-3162"
"01:00:02.242","File-5005"
"00:12:59.902","File-1086"
"00:24:52.878","File-2134"
"01:00:50.447","File-5055"
"00:23:32.941","File-2008"
"00:25:21.74","File-2170"
"00:02:41.86","File-216"
"01:01:15.603","File-5094"
"00:24:12.15","File-2074"
"00:19:38.003","File-1663"
"00:51:46.686","File-4337"
"00:43:30.449","File-3643"
"01:01:52.209","File-5147"
"00:34:49.128","File-2930"
"00:57:03.841","File-4776"
"00:32:44.346","File-2764"
"00:46:03.995","File-3857"
"00:44:34.731","File-3739"
"00:58:27.05","File-4888"
"01:00:20.68","File-5028"
"00:57:10.781","File-4785"
"00:00:11.236","File-13"
"00:06:19.588","File-544"
"01:00:13.597","File-5022"
"00:30:06.636","File-2564"
"00:58:11.748","File-4869"
"00:25:45.174","File-2209"
"00:53:29.687","File-4476"
"00:42:01.466","File-3506"
"00:00:10.09","File-11"
"00:10:55.215","File-917"
"00:03:59.99","File-326"
"00:05:25.079","File-460"
"00:16:57.378","File-1433"
"00:31:15.634","File-2641"
"00:42:07.778","File-3516"
"00:52:39.507","File-4400"
"00:58:44.029","File-4910"
"01:00:05.92","File-5013"
"00:00:12.561","File-16"
"01:00:08.054","File-5015"
"00:41:02.231","File-3414"
"00:09:29.76","File-805"
"00:05:54.31","File-501"
"00:53:03.11","File-4433"
"00:49:34.545","File-4157"
